user,pass,type,fullname,mail ,phone,class
1751047,1,0,Ha Binh An,hban@apcs.vn,123456789,17APCS1
1751125,1,0,Truong Cong Cuong,tccuong@apcs.vn,987654321,17APCS1
1751091,1,0,Gia Bao,gbao@apcs.vn,246813579,17APCS1
1751051,1,0,Le Thanh Binh,ltbinh@apcs.vn,135792468,17APCS1
1751052,1,0,Nguyen Quoc Binh,nqbinh@apcs.vn,231457819,17APCS1
1751054,1,0,Long Vu Quynh Chau,lvqchau@apcs.vn,192837456,17APCS1
1751021,1,0,Nguyen Duc Thang,ndthang@apcs.vn,657483921,17APCS1
1751053,1,0,Nguyen Thanh Binh,ntbinh@apcs.vn,129834765,17APCS1
1751001,1,0,Nguyen Hien Tuan,nhtuan@apcs.vn,573920195,17APCS2
1751008,1,0,Do Nhat Huy,dnhuy@apcs.vn,573920195,17APCS2
1751011,1,0,Nguyen Hoang Minh,nhminh@apcs.vn,689209581,17APCS2
1751012,1,0,Nguyen Chan,nchan@apcs.vn,574902972,17APCS2
1751013,1,0,Nguyen Ho Huu Nghia,nhhnghia@apcs.vn,579387109,17APCS2
1751029,1,0,Trinh Huu Duc,thduc@apcs.vn,598686198,17APCS2
1751030,1,0,Nguyen Ngoc Minh Huy,nnmhuy@apcs.vn,981097091,17APCS2
1751031,1,0,Dinh Nguyen Hoang Kim,dnhkim@apcs.vn,913896095,17APCS2
172752,1,0,Giao Hop,ghop@apcs.vn,890542789,17APCS2
1751055,1,0,Le Anh Bach Chien,labchien@apcs.vn,987609598,17APCS2
htthanh,1,1,Ho Thuan Thanh,htthanh@apcs.vn,999999999,NA
nnngan,1,1,Nguyen Ngoc Ngan,nnngan@apcs.vn,55555555,NA
dbtien,1,2,Dinh Ba Tien,dbtien@apcs.vn,111111111,NA
pkchu,1,2,Pi Ka Chu,pkchu@apcs.vn,69696969,NA
